St. Petersburg Clearwater Int.  PIE   |USAir|02:28|10|
Palm Springs International   PSP   |Delta|10:39|10|
Providence T.F. Green   PVD   |Delta|19:40|2|
Boston Logan International   BOS   |AirCanada|18:38|8|
San Diego International   SAN   |Continental|17:55|12|
Honolulu International   HNL   |Southwest|08:51|9|
Charlotte Douglas International   CLT   |AirCanada|11:06|7|
Baltimore Washington International   BWI   |Delta|17:53|4|
Long Beach   LGB   |Skywest|08:39|17|
Akron Canton   CAK   |Alaska|14:36|3|
Anchorage Ted Stevens International   ANC   |AirCanada|11:31|7|
Dickinson Theodore Roosevelt Regional   DIK   |Delta|11:44|5|
Hilo International   ITO   |United|04:05|1|
San Jose Norman Y. Mineta International   SJC   |Skywest|12:08|9|
St. Petersburg Clearwater Int.  PIE   |United|00:01|7|
Dayton International   DAY   |Northwest|16:51|19|
New Orleans Louis Armstrong   MSY   |AirCanada|01:16|2|
Dodge City Regional   DDC   |Continental|14:52|14|
Portsmouth International   PSM   |USAir|11:00|15|
Chicago O'Hare International   ORD   |Delta|03:03|18|
Hilo International   ITO   |American|09:33|8|
Cincinnati Northern Kentucky Int.  CVG   |Northwest|15:03|15|
Prescott Municipal  (Ernest A. Love Field)  PRC   |Skywest|16:03|11|
Washington Dulles Int.   IAD   |Alaska|11:47|7|
Orlando Sanford International   SFB   |United|12:39|14|
Prescott Municipal  (Ernest A. Love Field)  PRC   |Alaska|12:22|8|
Brookings Regional   BKX   |Southwest|09:47|7|
Oakland International   OAK   |Southwest|15:21|15|
Dickinson Theodore Roosevelt Regional   DIK   |Alaska|15:09|17|
Austin Bergstrom International   AUS   |Continental|17:37|3|
Aberdeen Regional   ABR   |USAir|14:03|8|
Four Corners Regional   FMN   |United|14:53|1|
Charlotte Douglas International   CLT   |USAir|19:08|18|
Cheyenne Regional   CYS   |Continental|17:42|18|
St. Petersburg Clearwater Int.  PIE   |American|12:39|18|
Denver International   DEN   |Alaska|11:33|7|
Fresno Yosemite International   FAT   |USAir|06:00|10|
El Paso International   ELP   |United|12:37|18|
Chicago O'Hare International   ORD   |Delta|05:26|2|
New York John F. Kennedy Int.  JFK   |United|06:02|7|
St. Augustine/St. Johns County   SGJ   |AirCanada|19:39|7|
Chicago Midway International   MDW   |AirCanada|06:40|3|
Raleigh-Durham International   RDU   |Northwest|20:23|6|
Hilo International   ITO   |Continental|11:00|6|
Nashville International   BNA   |AirCanada|21:21|3|
Cincinnati Northern Kentucky Int.  CVG   |Continental|05:48|5|
Albuquerque International Sunport   ABQ   |Northwest|13:20|7|
Orlando International   MCO   |USAir|21:33|5|
Prescott Municipal  (Ernest A. Love Field)  PRC   |Skywest|09:06|11|
New Orleans Louis Armstrong   MSY   |Northwest|13:32|5|
Dayton International   DAY   |USAir|02:13|2|
Burbank Bob Hope   BUR   |Continental|13:22|13|
Washington Dulles Int.   IAD   |Southwest|12:14|7|
Port Columbus International   CMH   |AirCanada|03:39|19|
New York Newark Liberty Int.  EWR   |Alaska|15:25|6|
Sierra Vista Municipal   FHU   |Alaska|13:32|6|
Houston Hobby   HOU   |Skywest|22:45|7|
Stewart International   SWF   |American|13:07|9|
Syracuse Hancock International   SYR   |Northwest|21:25|16|
Charlotte Douglas International   CLT   |AirCanada|22:39|19|
Las Vegas McCarran Int.   LAS   |United|15:57|18|
Detroit Metropolitan Wayne County  DTW   |Continental|21:53|12|
Houston Hobby   HOU   |United|12:53|18|
Austin Bergstrom International   AUS   |American|11:43|12|
Las Vegas McCarran Int.   LAS   |USAir|14:37|6|
Chadron Municipal   CDR   |Northwest|03:09|9|
Dallas Fort Worth Int.   DFW   |Continental|03:15|3|
Alamosa County   ALS   |Continental|00:20|13|
Los Angeles Ontario Int.   ONT   |Southwest|10:17|11|
Salt Lake City International   SLC   |AirCanada|06:14|4|
Aberdeen Regional   ABR   |United|15:18|15|
Lihue   LIH   |American|13:49|5|
Westover Metropolitan   CEF   |AirCanada|08:16|16|
Chadron Municipal   CDR   |Skywest|12:26|12|
New Orleans Louis Armstrong   MSY   |Alaska|05:51|5|
Prescott Municipal  (Ernest A. Love Field)  PRC   |Continental|15:33|6|
Kahului Maui   OGG   |Alaska|04:37|12|
Lanai   LNY   |USAir|04:44|6|
Minneapolis / St. Paul Int.   MSP   |Delta|05:08|11|
Cortez Municipal   CEZ   |Alaska|03:22|13|
Fort Myers International   RSW   |AirCanada|04:24|12|
Charlotte Douglas International   CLT   |United|13:19|13|
Four Corners Regional   FMN   |AirCanada|06:10|9|
Orange County John Wayne   SNA   |Skywest|00:06|12|
Alliance Municipal   AIA   |Delta|11:48|14|
St. Louis Lambert Int.   STL   |AirCanada|14:29|8|
Los Angeles International   LAX   |Delta|20:32|5|
Cincinnati Northern Kentucky Int.  CVG   |Alaska|15:39|10|
Albuquerque International Sunport   ABQ   |United|11:52|9|
Syracuse Hancock International   SYR   |Continental|06:28|18|
Jacksonville   JAX   |USAir|07:48|6|
Cincinnati Northern Kentucky Int.  CVG   |Continental|05:44|4|
Gallup Municipal   GUP   |Alaska|07:44|12|
Burlington International   BTV   |Northwest|12:42|8|
Orlando Sanford International   SFB   |United|09:44|8|
Lanai   LNY   |United|20:22|13|
Lanai   LNY   |Continental|19:27|3|
Chicago Midway International   MDW   |Alaska|13:50|13|
Boston Logan International   BOS   |United|19:14|14|
Denver International   DEN   |AirCanada|13:35|7|
Billings Logan International   BIL   |Northwest|00:28|10|
Palm Springs International   PSP   |Delta|16:05|5|
Anchorage Ted Stevens International   ANC   |AirCanada|11:25|16|
Cheyenne Regional   CYS   |United|15:38|4|
Clovis Municipal   CVN   |Continental|07:34|7|
Austin Bergstrom International   AUS   |Delta|20:49|2|
Orlando International   MCO   |Delta|00:01|11|
Fort Myers International   RSW   |Southwest|02:43|16|
Orlando International   MCO   |Alaska|19:13|5|
Honolulu International   HNL   |Continental|18:36|13|
San Francisco Int.   SFO   |Skywest|16:47|7|
Charlotte Douglas International   CLT   |Northwest|04:25|15|
Hilo International   ITO   |Delta|11:38|18|
Buffalo Niagara International   BUF   |Southwest|01:01|12|
Greater Rochester International   ROC   |Continental|14:01|19|
Chadron Municipal   CDR   |AirCanada|10:44|3|
Salt Lake City International   SLC   |Skywest|01:31|5|
Billings Logan International   BIL   |Delta|01:20|12|
Sarasota Bradenton Int.   SRQ   |Alaska|17:24|15|
Akron Canton   CAK   |Continental|02:53|16|
Honolulu International   HNL   |Northwest|18:57|16|
Cincinnati Northern Kentucky Int.  CVG   |Skywest|20:14|2|
Bellingham International   BLI   |USAir|10:04|16|
Westover Metropolitan   CEF   |American|04:41|15|
Boise   BOI   |United|19:33|12|
Orlando International   MCO   |American|18:02|15|
Reno Tahoe International   RNO   |AirCanada|06:29|8|
Orlando Sanford International   SFB   |Skywest|20:11|6|
Fort Lauderdale Hollywood Int.  FLL   |Northwest|12:40|4|
Port Columbus International   CMH   |Skywest|07:21|12|
Kahului Maui   OGG   |Skywest|22:24|6|
Providence T.F. Green   PVD   |Alaska|15:40|16|
Palm Springs International   PSP   |AirCanada|10:27|12|
El Paso International   ELP   |Southwest|22:33|7|
Pittsburgh International   PIT   |Alaska|09:38|1|
Honolulu International   HNL   |Continental|07:58|11|
Syracuse Hancock International   SYR   |Delta|06:33|15|
Seattle Tacoma Int.   SEA   |United|21:52|14|
New Orleans Louis Armstrong   MSY   |United|02:29|19|
New York Newark Liberty Int.  EWR   |Northwest|00:21|19|
Huron Regional   HON   |United|16:21|19|
Syracuse Hancock International   SYR   |Southwest|20:52|6|
Prescott Municipal  (Ernest A. Love Field)  PRC   |Skywest|16:31|11|
Alamosa County   ALS   |United|03:42|15|
Houston George Bush Intercont.  IAH   |AirCanada|20:51|7|
Denver International   DEN   |Alaska|17:33|2|
Lihue   LIH   |Southwest|03:10|12|
Dallas Fort Worth Int.   DFW   |United|03:43|7|
Miami International   MIA   |USAir|19:19|9|
Portsmouth International   PSM   |USAir|19:47|4|
Detroit Metropolitan Wayne County  DTW   |Northwest|06:40|16|
Boise   BOI   |United|05:25|3|
Dodge City Regional   DDC   |Northwest|06:04|9|
Palm Beach International   PBI   |Northwest|06:40|5|
Four Corners Regional   FMN   |United|17:34|10|
Orange County John Wayne   SNA   |Southwest|16:33|14|
Austin Bergstrom International   AUS   |Southwest|13:52|11|
Dodge City Regional   DDC   |AirCanada|04:27|8|
Boise   BOI   |Continental|18:18|1|
New Orleans Louis Armstrong   MSY   |Continental|14:45|14|
Dodge City Regional   DDC   |Continental|22:38|3|
Aberdeen Regional   ABR   |Northwest|07:36|5|
Four Corners Regional   FMN   |Northwest|17:18|12|
Phoenix Sky Harbor Int.   PHX   |Skywest|22:52|1|
New Orleans Louis Armstrong   MSY   |Northwest|03:08|1|
Dodge City Regional   DDC   |United|14:52|13|
Amarillo International   AMA   |AirCanada|12:14|12|
Aberdeen Regional   ABR   |United|18:54|4|
Washington Dulles Int.   IAD   |Skywest|16:24|5|
Phoenix Sky Harbor Int.   PHX   |Continental|06:53|11|
Nashville International   BNA   |Alaska|22:17|5|
Billings Logan International   BIL   |Delta|16:05|5|
Lihue   LIH   |Skywest|10:12|15|
Anchorage Ted Stevens International   ANC   |Skywest|03:26|16|
Denver International   DEN   |Northwest|08:01|4|
Lanai   LNY   |Continental|02:53|17|
Reno Tahoe International   RNO   |United|04:22|13|
Palm Beach International   PBI   |AirCanada|10:02|11|
Dallas Love Field   DAL   |AirCanada|07:20|8|
Huron Regional   HON   |Southwest|00:01|18|
Portland International Jetport  PWM   |AirCanada|13:19|16|
Los Angeles Ontario Int.   ONT   |American|16:41|8|
Fort Lauderdale Hollywood Int.  FLL   |Delta|04:54|10|
Stewart International   SWF   |Southwest|16:41|7|
Chicago O'Hare International   ORD   |United|16:35|18|
Clovis Municipal   CVN   |Delta|13:23|1|
Fresno Yosemite International   FAT   |Southwest|19:02|10|
Dodge City Regional   DDC   |Continental|09:08|6|
Brookings Regional   BKX   |Alaska|13:14|5|
Pittsburgh International   PIT   |AirCanada|19:44|13|
Amarillo International   AMA   |American|10:37|8|
Anchorage Ted Stevens International   ANC   |Continental|17:23|4|
Lanai   LNY   |AirCanada|18:17|10|
Kahului Maui   OGG   |AirCanada|18:57|4|
Kahului Maui   OGG   |United|19:39|8|
Cincinnati Northern Kentucky Int.  CVG   |Continental|21:39|4|
Lanai   LNY   |Southwest|06:41|12|
Albuquerque International Sunport   ABQ   |USAir|01:40|15|
New York John F. Kennedy Int.  JFK   |United|17:37|4|
Amarillo International   AMA   |Northwest|17:37|5|
Akron Canton   CAK   |Alaska|00:20|9|
Orange County John Wayne   SNA   |AirCanada|00:10|10|
Hilo International   ITO   |USAir|13:14|2|
Dayton International   DAY   |Delta|13:28|5|
Portsmouth International   PSM   |Southwest|14:00|7|
Tucson International   TUS   |AirCanada|12:56|5|
Kona International  at Keahole  KOA   |Southwest|06:40|8|
Akron Canton   CAK   |American|01:15|16|
New York Newark Liberty Int.  EWR   |Delta|17:50|4|
Albuquerque International Sunport   ABQ   |United|06:43|16|
Sacramento International   SMF   |Skywest|13:15|11|
Pittsburgh International   PIT   |Northwest|04:44|5|
Denver International   DEN   |Southwest|08:42|6|
Port Columbus International   CMH   |Northwest|21:49|15|
Las Vegas McCarran Int.   LAS   |Delta|20:42|1|
Dayton International   DAY   |USAir|07:46|1|
Syracuse Hancock International   SYR   |American|18:51|15|
Portsmouth International   PSM   |Alaska|03:39|19|
San Jose Norman Y. Mineta International   SJC   |American|21:43|18|
Sarasota Bradenton Int.   SRQ   |USAir|14:57|12|
Seattle Tacoma Int.   SEA   |Skywest|13:00|9|
Portland International Jetport  PWM   |United|00:07|2|
Los Angeles Ontario Int.   ONT   |Delta|21:10|12|
San Diego International   SAN   |USAir|05:24|11|
Las Vegas McCarran Int.   LAS   |USAir|15:50|15|
Piedmont Triad International   GSO   |American|16:42|13|
Phoenix Sky Harbor Int.   PHX   |USAir|12:13|19|
Raleigh-Durham International   RDU   |Continental|18:16|6|
Huron Regional   HON   |Alaska|06:06|16|
Sierra Vista Municipal   FHU   |Alaska|15:33|10|
Raleigh-Durham International   RDU   |American|09:17|9|
Greater Rochester International   ROC   |Delta|06:54|15|
Cincinnati Northern Kentucky Int.  CVG   |American|21:11|6|
Tampa International   TPA   |United|08:24|4|
Las Vegas McCarran Int.   LAS   |AirCanada|19:08|7|
Anchorage Ted Stevens International   ANC   |Continental|04:16|10|
Reno Tahoe International   RNO   |United|19:37|9|
Four Corners Regional   FMN   |Delta|06:57|10|
Greater Rochester International   ROC   |Northwest|00:57|7|
Piedmont Triad International   GSO   |Skywest|03:46|16|
Los Angeles Ontario Int.   ONT   |Continental|00:42|16|
Clovis Municipal   CVN   |Continental|22:32|1|
Gallup Municipal   GUP   |Southwest|05:26|14|
Sacramento International   SMF   |USAir|02:14|12|
New Orleans Louis Armstrong   MSY   |United|21:41|3|
Brookings Regional   BKX   |Continental|19:36|8|
Palm Springs International   PSP   |Continental|11:25|10|
Akron Canton   CAK   |Skywest|07:38|11|
Portland International Jetport  PWM   |Continental|11:10|19|
Hilo International   ITO   |Skywest|07:19|1|
San Jose Norman Y. Mineta International   SJC   |Skywest|21:21|11|
Fort Myers International   RSW   |United|06:46|11|
Jacksonville   JAX   |AirCanada|04:55|15|
Houston Hobby   HOU   |AirCanada|09:44|12|
Palm Springs International   PSP   |Southwest|06:57|17|
Portland International Jetport  PWM   |American|21:12|10|
Anchorage Ted Stevens International   ANC   |USAir|20:52|13|
Miami International   MIA   |Continental|09:29|5|
Cincinnati Northern Kentucky Int.  CVG   |United|05:14|16|
Piedmont Triad International   GSO   |American|18:39|18|
Dickinson Theodore Roosevelt Regional   DIK   |Skywest|17:23|11|
Chicago O'Hare International   ORD   |Delta|17:18|8|
Cincinnati Northern Kentucky Int.  CVG   |USAir|17:45|15|
Washington Dulles Int.   IAD   |Skywest|04:40|17|
Houston George Bush Intercont.  IAH   |Continental|04:38|13|
Palm Springs International   PSP   |AirCanada|15:05|14|
Salt Lake City International   SLC   |USAir|07:31|15|
Cortez Municipal   CEZ   |Northwest|04:22|18|
Portsmouth International   PSM   |Southwest|18:12|12|
St. Petersburg Clearwater Int.  PIE   |United|20:07|16|
Sarasota Bradenton Int.   SRQ   |Alaska|13:13|13|
Four Corners Regional   FMN   |USAir|22:14|1|
San Diego International   SAN   |Alaska|16:29|2|
Billings Logan International   BIL   |American|20:24|2|
Philidelphia Int.   PHL   |Southwest|20:46|7|
Brookings Regional   BKX   |Continental|02:20|15|
Dallas Fort Worth Int.   DFW   |Delta|22:28|5|
Chadron Municipal   CDR   |Northwest|12:29|18|
Nashville International   BNA   |Delta|18:50|6|
New Orleans Louis Armstrong   MSY   |Northwest|09:04|18|
Akron Canton   CAK   |Alaska|10:17|18|
New Orleans Louis Armstrong   MSY   |AirCanada|01:15|15|
Oakland International   OAK   |USAir|10:56|10|
Kahului Maui   OGG   |AirCanada|13:50|3|
Port Columbus International   CMH   |USAir|12:15|16|
Salt Lake City International   SLC   |United|10:15|10|
Tucson International   TUS   |Delta|18:29|17|
Orlando Sanford International   SFB   |USAir|22:25|1|
Richmond International   RIC   |AirCanada|19:42|19|
St. Louis Lambert Int.   STL   |American|07:00|17|
Philidelphia Int.   PHL   |Continental|20:03|19|
